rec,date,U,H,F,D,B,ms,ns
0,1985-08,1,0,0,0,0,U,1
0,1985-09,1,0,0,0,0,U,1
0,1985-10,1,0,0,0,0,U,1
0,1985-11,1,0,0,0,0,U,1
0,1985-12,1,0,0,0,0,U,1
0,1986-01,1,0,0,0,0,U,1
0,1986-02,1,0,0,0,0,U,1
0,1986-03,1,0,0,0,0,U,1
0,1986-04,1,0,0,0,0,U,1
0,1986-05,1,0,0,0,0,U,1
0,1986-06,1,0,0,0,0,U,1
0,1986-07,1,0,0,0,0,U,1
0,1986-08,1,0,0,0,0,U,1
0,1986-09,1,0,0,0,0,U,1
0,1986-10,1,0,0,0,0,U,1
0,1986-11,1,0,0,0,0,U,1
0,1986-12,1,0,0,0,0,U,1
0,1987-01,1,0,0,0,0,U,1
0,1987-02,1,0,0,0,0,U,1
0,1987-03,1,0,0,0,0,U,1
0,1987-04,1,0,0,0,0,U,1
0,1987-05,1,0,0,0,0,U,1
0,1987-06,1,0,0,0,0,U,1
0,1987-07,1,0,0,0,0,U,1
0,1987-08,1,0,0,0,0,U,1
0,1987-09,1,0,0,0,0,U,1
0,1987-10,1,0,0,0,0,U,1
0,1987-11,1,0,0,0,0,U,1
0,1987-12,1,0,0,0,0,U,1
0,1988-01,1,0,0,0,0,U,1
0,1988-02,1,0,0,0,0,U,1
0,1988-03,1,0,0,0,0,U,1
0,1988-04,1,0,0,0,0,U,1
0,1988-05,1,0,0,0,0,U,1
0,1988-06,1,0,0,0,0,U,1
0,1988-07,1,0,0,0,0,U,1
0,1988-08,1,0,0,0,0,U,1
0,1988-09,1,0,0,0,0,U,1
0,1988-10,1,0,0,0,0,U,1
0,1988-11,1,0,0,0,0,U,1
0,1988-12,0,1,0,0,0,H,2
0,1989-01,0,1,0,0,0,H,2
0,1989-02,0,1,0,0,0,H,2
0,1989-03,0,1,0,0,0,H,2
0,1989-04,0,1,0,0,0,H,2
0,1989-05,0,1,0,0,0,H,2
0,1989-06,0,0,1,0,0,F,5
0,1989-07,0,0,0,0,1,B,4
0,1989-08,0,0,1,0,0,F,5
0,1989-09,0,1,0,0,0,H,2
0,1989-10,0,0,1,0,0,F,5
0,1989-11,0,0,1,0,0,F,5
0,1989-12,0,0,1,0,0,F,5
0,1990-01,1,0,0,0,0,U,1
0,1990-02,1,0,0,0,0,U,1
0,1990-03,0,1,0,0,0,H,2
0,1990-04,1,0,0,0,0,U,1
0,1990-05,1,0,0,0,0,U,1
0,1990-06,1,0,0,0,0,U,1
0,1990-07,1,0,0,0,0,U,1
1,1990-08,1,0,0,0,0,U,1
1,1990-09,1,0,0,0,0,U,1
1,1990-10,1,0,0,0,0,U,1
1,1990-11,1,0,0,0,0,U,1
1,1990-12,1,0,0,0,0,U,1
1,1991-01,1,0,0,0,0,U,1
1,1991-02,1,0,0,0,0,U,1
1,1991-03,1,0,0,0,0,U,1
0,1991-04,1,0,0,0,0,U,1
0,1991-05,1,0,0,0,0,U,1
0,1991-06,1,0,0,0,0,U,1
0,1991-07,1,0,0,0,0,U,1
0,1991-08,1,0,0,0,0,U,1
0,1991-09,1,0,0,0,0,U,1
0,1991-10,1,0,0,0,0,U,1
0,1991-11,1,0,0,0,0,U,1
0,1991-12,1,0,0,0,0,U,1
0,1992-01,1,0,0,0,0,U,1
0,1992-02,1,0,0,0,0,U,1
0,1992-03,1,0,0,0,0,U,1
0,1992-04,1,0,0,0,0,U,1
0,1992-05,1,0,0,0,0,U,1
0,1992-06,1,0,0,0,0,U,1
0,1992-07,1,0,0,0,0,U,1
0,1992-08,1,0,0,0,0,U,1
0,1992-09,1,0,0,0,0,U,1
0,1992-10,1,0,0,0,0,U,1
0,1992-11,1,0,0,0,0,U,1
0,1992-12,1,0,0,0,0,U,1
0,1993-01,1,0,0,0,0,U,1
0,1993-02,1,0,0,0,0,U,1
0,1993-03,1,0,0,0,0,U,1
0,1993-04,1,0,0,0,0,U,1
0,1993-05,1,0,0,0,0,U,1
0,1993-06,1,0,0,0,0,U,1
0,1993-07,1,0,0,0,0,U,1
0,1993-08,1,0,0,0,0,U,1
0,1993-09,1,0,0,0,0,U,1
0,1993-10,1,0,0,0,0,U,1
0,1993-11,1,0,0,0,0,U,1
0,1993-12,1,0,0,0,0,U,1
0,1994-01,1,0,0,0,0,U,1
0,1994-02,1,0,0,0,0,U,1
0,1994-03,1,0,0,0,0,U,1
0,1994-04,1,0,0,0,0,U,1
0,1994-05,1,0,0,0,0,U,1
0,1994-06,1,0,0,0,0,U,1
0,1994-07,1,0,0,0,0,U,1
0,1994-08,1,0,0,0,0,U,1
0,1994-09,1,0,0,0,0,U,1
0,1994-10,1,0,0,0,0,U,1
0,1994-11,1,0,0,0,0,U,1
0,1994-12,1,0,0,0,0,U,1
0,1995-01,1,0,0,0,0,U,1
0,1995-02,1,0,0,0,0,U,1
0,1995-03,1,0,0,0,0,U,1
0,1995-04,1,0,0,0,0,U,1
0,1995-05,1,0,0,0,0,U,1
0,1995-06,1,0,0,0,0,U,1
0,1995-07,1,0,0,0,0,U,1
0,1995-08,1,0,0,0,0,U,1
0,1995-09,1,0,0,0,0,U,1
0,1995-10,1,0,0,0,0,U,1
0,1995-11,1,0,0,0,0,U,1
0,1995-12,1,0,0,0,0,U,1
0,1996-01,1,0,0,0,0,U,1
0,1996-02,1,0,0,0,0,U,1
0,1996-03,1,0,0,0,0,U,1
0,1996-04,1,0,0,0,0,U,1
0,1996-05,1,0,0,0,0,U,1
0,1996-06,1,0,0,0,0,U,1
0,1996-07,1,0,0,0,0,U,1
0,1996-08,1,0,0,0,0,U,1
0,1996-09,1,0,0,0,0,U,1
0,1996-10,1,0,0,0,0,U,1
0,1996-11,1,0,0,0,0,U,1
0,1996-12,1,0,0,0,0,U,1
0,1997-01,1,0,0,0,0,U,1
0,1997-02,1,0,0,0,0,U,1
0,1997-03,1,0,0,0,0,U,1
0,1997-04,1,0,0,0,0,U,1
0,1997-05,1,0,0,0,0,U,1
0,1997-06,1,0,0,0,0,U,1
0,1997-07,1,0,0,0,0,U,1
0,1997-08,1,0,0,0,0,U,1
0,1997-09,1,0,0,0,0,U,1
0,1997-10,1,0,0,0,0,U,1
0,1997-11,1,0,0,0,0,U,1
