"","date","Ufh","Ufb","Usb","Ush","H","D","B","F","ns","ms"
"367","1975-07",1,0,0,0,0,0,0,0,"0.25","U1"
"368","1975-08",1,0,0,0,0,0,0,0,"0.25","U1"
"369","1975-09",1,0,0,0,0,0,0,0,"0.25","U1"
"370","1975-10",1,0,0,0,0,0,0,0,"0.25","U1"
"371","1975-11",1,0,0,0,0,0,0,0,"0.25","U1"
"372","1975-12",1,0,0,0,0,0,0,0,"0.25","U1"
"373","1976-01",0,0,0,1,0,0,0,0,"1","U4"
"374","1976-02",0,0,0,1,0,0,0,0,"1","U4"
"375","1976-03",1,0,0,0,0,0,0,0,"0.25","U1"
"376","1976-04",1,0,0,0,0,0,0,0,"0.25","U1"
"377","1976-05",1,0,0,0,0,0,0,0,"0.25","U1"
"378","1976-06",1,0,0,0,0,0,0,0,"0.25","U1"
"379","1976-07",1,0,0,0,0,0,0,0,"0.25","U1"
"380","1976-08",1,0,0,0,0,0,0,0,"0.25","U1"
"381","1976-09",1,0,0,0,0,0,0,0,"0.25","U1"
"382","1976-10",0,0,0,1,0,0,0,0,"1","U4"
"383","1976-11",0,0,1,0,0,0,0,0,"0.75","U3"
"384","1976-12",0,0,1,0,0,0,0,0,"0.75","U3"
"385","1977-01",0,0,0,1,0,0,0,0,"1","U4"
"386","1977-02",0,0,0,1,0,0,0,0,"1","U4"
"387","1977-03",0,0,0,1,0,0,0,0,"1","U4"
"388","1977-04",0,0,0,1,0,0,0,0,"1","U4"
"389","1977-05",0,1,0,0,0,0,0,0,"0.5","U2"
"390","1977-06",0,1,0,0,0,0,0,0,"0.5","U2"
"391","1977-07",0,1,0,0,0,0,0,0,"0.5","U2"
"392","1977-08",0,1,0,0,0,0,0,0,"0.5","U2"
"393","1977-09",0,1,0,0,0,0,0,0,"0.5","U2"
"394","1977-10",0,1,0,0,0,0,0,0,"0.5","U2"
"395","1977-11",0,1,0,0,0,0,0,0,"0.5","U2"
"396","1977-12",0,1,0,0,0,0,0,0,"0.5","U2"
"397","1978-01",0,1,0,0,0,0,0,0,"0.5","U2"
"398","1978-02",0,1,0,0,0,0,0,0,"0.5","U2"
"399","1978-03",1,0,0,0,0,0,0,0,"0.25","U1"
"400","1978-04",1,0,0,0,0,0,0,0,"0.25","U1"
"401","1978-05",1,0,0,0,0,0,0,0,"0.25","U1"
"402","1978-06",1,0,0,0,0,0,0,0,"0.25","U1"
"403","1978-07",1,0,0,0,0,0,0,0,"0.25","U1"
"404","1978-08",0,0,0,0,0,0,0,1,"5","F"
"405","1978-09",0,0,0,0,0,1,0,0,"3","D"
"406","1978-10",0,0,0,0,0,1,0,0,"3","D"
"407","1978-11",0,0,0,0,0,1,0,0,"3","D"
"408","1978-12",0,0,0,0,0,1,0,0,"3","D"
"409","1979-01",0,0,0,0,0,1,0,0,"3","D"
"410","1979-02",0,0,0,0,0,1,0,0,"3","D"
"411","1979-03",0,0,0,0,0,1,0,0,"3","D"
"412","1979-04",0,0,0,0,0,1,0,0,"3","D"
"413","1979-05",0,0,0,0,0,1,0,0,"3","D"
"414","1979-06",0,0,0,0,0,1,0,0,"3","D"
"415","1979-07",0,0,0,0,0,1,0,0,"3","D"
"416","1979-08",0,0,0,0,0,1,0,0,"3","D"
"417","1979-09",0,0,0,0,0,1,0,0,"3","D"
"418","1979-10",0,0,0,0,0,1,0,0,"3","D"
"419","1979-11",0,0,0,0,0,1,0,0,"3","D"
"420","1979-12",0,0,0,0,0,1,0,0,"3","D"
"421","1980-01",0,0,0,0,0,1,0,0,"3","D"
"422","1980-02",0,0,0,0,0,1,0,0,"3","D"
"423","1980-03",0,0,0,0,0,1,0,0,"3","D"
"424","1980-04",0,0,0,0,0,1,0,0,"3","D"
"425","1980-05",0,1,0,0,0,0,0,0,"0.5","U2"
"426","1980-06",1,0,0,0,0,0,0,0,"0.25","U1"
"427","1980-07",0,1,0,0,0,0,0,0,"0.5","U2"
"428","1980-08",1,0,0,0,0,0,0,0,"0.25","U1"
