"","date","B","D","F","H","U","Ua","Ub","Shape","S"
"407","1987-02",0,0,0,0,1,1,0,"Ua","0.5"
"408","1987-03",0,0,0,0,1,1,0,"Ua","0.5"
"409","1987-04",0,0,0,0,1,1,0,"Ua","0.5"
"410","1987-05",0,0,0,0,1,0,1,"Ub","1"
"411","1987-06",0,0,0,0,1,0,1,"Ub","1"
"412","1987-07",0,0,0,0,1,0,1,"Ub","1"
"413","1987-08",0,0,0,0,1,0,1,"Ub","1"
"414","1987-09",0,0,0,0,1,0,1,"Ub","1"
"415","1987-10",0,0,0,0,1,0,1,"Ub","1"
"416","1987-11",0,0,0,0,1,0,1,"Ub","1"
"417","1987-12",0,0,0,0,1,0,1,"Ub","1"
"418","1988-01",0,0,0,0,1,0,1,"Ub","1"
"419","1988-02",0,0,0,0,1,0,1,"Ub","1"
"420","1988-03",0,0,0,0,1,0,1,"Ub","1"
"421","1988-04",0,0,0,0,1,0,1,"Ub","1"
"422","1988-05",0,0,0,0,1,0,1,"Ub","1"
"423","1988-06",0,0,0,0,1,1,0,"Ua","0.5"
"424","1988-07",0,0,0,0,1,1,0,"Ua","0.5"
"425","1988-08",0,0,0,0,1,1,0,"Ua","0.5"
"426","1988-09",0,0,0,0,1,1,0,"Ua","0.5"
"427","1988-10",0,0,0,0,1,1,0,"Ua","0.5"
"428","1988-11",0,0,0,0,1,1,0,"Ua","0.5"
"429","1988-12",0,0,0,1,0,0,0,"H","4"
"430","1989-01",0,0,0,1,0,0,0,"H","4"
"431","1989-02",0,0,0,1,0,0,0,"H","4"
"432","1989-03",0,0,0,1,0,0,0,"H","4"
"433","1989-04",0,0,0,1,0,0,0,"H","4"
"434","1989-05",0,0,0,1,0,0,0,"H","4"
"435","1989-06",0,0,1,0,0,0,0,"F","3"
"436","1989-07",1,0,0,0,0,0,0,"B","2"
"437","1989-08",0,0,1,0,0,0,0,"F","3"
"438","1989-09",0,0,0,1,0,0,0,"H","4"
"439","1989-10",0,0,1,0,0,0,0,"F","3"
"440","1989-11",0,0,1,0,0,0,0,"F","3"
"441","1989-12",0,0,1,0,0,0,0,"F","3"
"442","1990-01",0,0,0,0,1,1,0,"Ua","0.5"
"443","1990-02",0,0,0,0,1,1,0,"Ua","0.5"
"444","1990-03",0,0,0,1,0,0,0,"H","4"
"445","1990-04",0,0,0,0,1,1,0,"Ua","0.5"
"446","1990-05",0,0,0,0,1,1,0,"Ua","0.5"
"447","1990-06",0,0,0,0,1,1,0,"Ua","0.5"
"448","1990-07",0,0,0,0,1,1,0,"Ua","0.5"
"449","1990-08",0,0,0,0,1,1,0,"Ua","0.5"
"450","1990-09",0,0,0,0,1,1,0,"Ua","0.5"
"451","1990-10",0,0,0,0,1,1,0,"Ua","0.5"
"452","1990-11",0,0,0,0,1,1,0,"Ua","0.5"
"453","1990-12",0,0,0,0,1,1,0,"Ua","0.5"
"454","1991-01",0,0,0,0,1,1,0,"Ua","0.5"
