"","date","B","D","F","H","U","Shape","S"
"441","1981-09",0,1,0,0,0,"D","5"
"442","1981-10",0,0,0,1,0,"H","4"
"443","1981-11",0,0,0,0,1,"U","1"
"444","1981-12",0,0,0,0,1,"U","1"
"445","1982-01",0,0,0,1,0,"H","4"
"446","1982-02",0,0,0,1,0,"H","4"
"447","1982-03",0,0,0,1,0,"H","4"
"448","1982-04",0,0,0,1,0,"H","4"
"449","1982-05",0,0,0,1,0,"H","4"
"450","1982-06",0,0,0,1,0,"H","4"
"451","1982-07",0,0,0,1,0,"H","4"
"452","1982-08",0,0,0,0,1,"U","1"
"453","1982-09",0,0,0,0,1,"U","1"
"454","1982-10",0,0,0,0,1,"U","1"
"455","1982-11",0,0,0,0,1,"U","1"
"456","1982-12",0,0,0,0,1,"U","1"
"457","1983-01",0,0,0,0,1,"U","1"
"458","1983-02",0,0,0,0,1,"U","1"
"459","1983-03",0,0,0,0,1,"U","1"
"460","1983-04",0,0,0,0,1,"U","1"
"461","1983-05",0,0,0,0,1,"U","1"
"462","1983-06",0,0,0,0,1,"U","1"
"463","1983-07",0,0,0,0,1,"U","1"
"464","1983-08",0,0,0,0,1,"U","1"
"465","1983-09",0,0,0,0,1,"U","1"
"466","1983-10",0,0,0,0,1,"U","1"
"467","1983-11",0,0,0,0,1,"U","1"
"468","1983-12",0,0,0,0,1,"U","1"
"469","1984-01",0,0,0,0,1,"U","1"
"470","1984-02",0,0,0,0,1,"U","1"
"471","1984-03",0,0,0,0,1,"U","1"
"472","1984-04",0,0,0,0,1,"U","1"
"473","1984-05",0,0,0,0,1,"U","1"
"474","1984-06",0,0,0,0,1,"U","1"
"475","1984-07",0,0,0,0,1,"U","1"
"476","1984-08",0,0,0,0,1,"U","1"
"477","1984-09",0,0,0,1,0,"H","4"
"478","1984-10",0,0,0,0,1,"U","1"
"479","1984-11",0,0,0,0,1,"U","1"
"480","1984-12",0,0,0,0,1,"U","1"
"481","1985-01",0,0,0,0,1,"U","1"
"482","1985-02",0,0,0,0,1,"U","1"
"483","1985-03",0,0,0,0,1,"U","1"
"484","1985-04",0,0,0,0,1,"U","1"
"485","1985-05",0,0,0,0,1,"U","1"
"486","1985-06",0,0,0,0,1,"U","1"
"487","1985-07",0,0,0,0,1,"U","1"
"488","1985-08",0,0,0,0,1,"U","1"
"489","1985-09",0,0,0,0,1,"U","1"
"490","1985-10",0,0,0,0,1,"U","1"
"491","1985-11",0,0,0,0,1,"U","1"
"492","1985-12",0,0,0,0,1,"U","1"
"493","1986-01",0,0,0,0,1,"U","1"
"494","1986-02",0,0,0,0,1,"U","1"
"495","1986-03",0,0,0,0,1,"U","1"
"496","1986-04",0,0,0,0,1,"U","1"
"497","1986-05",0,0,0,0,1,"U","1"
"498","1986-06",0,0,0,0,1,"U","1"
"499","1986-07",0,0,0,0,1,"U","1"
"500","1986-08",0,0,0,0,1,"U","1"
"501","1986-09",0,0,0,0,1,"U","1"
"502","1986-10",0,0,0,0,1,"U","1"
"503","1986-11",0,0,0,0,1,"U","1"
"504","1986-12",0,0,0,0,1,"U","1"
"505","1987-01",0,0,0,0,1,"U","1"
"506","1987-02",0,0,0,0,1,"U","1"
"507","1987-03",0,0,0,0,1,"U","1"
"508","1987-04",0,0,0,0,1,"U","1"
"509","1987-05",0,0,0,0,1,"U","1"
"510","1987-06",0,0,0,0,1,"U","1"
"511","1987-07",0,0,0,0,1,"U","1"
"512","1987-08",0,0,0,0,1,"U","1"
"513","1987-09",0,0,0,0,1,"U","1"
"514","1987-10",0,0,0,0,1,"U","1"
"515","1987-11",0,0,0,0,1,"U","1"
"516","1987-12",0,0,0,0,1,"U","1"
"517","1988-01",0,0,0,0,1,"U","1"
"518","1988-02",0,0,0,0,1,"U","1"
"519","1988-03",0,0,0,0,1,"U","1"
"520","1988-04",0,0,0,0,1,"U","1"
"521","1988-05",0,0,0,0,1,"U","1"
"522","1988-06",0,0,0,0,1,"U","1"
"523","1988-07",0,0,0,0,1,"U","1"
"524","1988-08",0,0,0,0,1,"U","1"
"525","1988-09",0,0,0,0,1,"U","1"
"526","1988-10",0,0,0,0,1,"U","1"
"527","1988-11",0,0,0,0,1,"U","1"
"528","1988-12",0,0,0,1,0,"H","4"
"529","1989-01",0,0,0,1,0,"H","4"
"530","1989-02",0,0,0,1,0,"H","4"
"531","1989-03",0,0,0,1,0,"H","4"
"532","1989-04",0,0,0,1,0,"H","4"
"533","1989-05",0,0,0,1,0,"H","4"
"534","1989-06",0,0,1,0,0,"F","3"
"535","1989-07",1,0,0,0,0,"B","2"
"536","1989-08",0,0,1,0,0,"F","3"
"537","1989-09",0,0,0,1,0,"H","4"
"538","1989-10",0,0,1,0,0,"F","3"
"539","1989-11",0,0,1,0,0,"F","3"
"540","1989-12",0,0,1,0,0,"F","3"
"541","1990-01",0,0,0,0,1,"U","1"
"542","1990-02",0,0,0,0,1,"U","1"
"543","1990-03",0,0,0,1,0,"H","4"
"544","1990-04",0,0,0,0,1,"U","1"
"545","1990-05",0,0,0,0,1,"U","1"
"546","1990-06",0,0,0,0,1,"U","1"
"547","1990-07",0,0,0,0,1,"U","1"
"548","1990-08",0,0,0,0,1,"U","1"
"549","1990-09",0,0,0,0,1,"U","1"
"550","1990-10",0,0,0,0,1,"U","1"
"551","1990-11",0,0,0,0,1,"U","1"
"552","1990-12",0,0,0,0,1,"U","1"
"553","1991-01",0,0,0,0,1,"U","1"
"554","1991-02",0,0,0,0,1,"U","1"
"555","1991-03",0,0,0,0,1,"U","1"
"556","1991-04",0,0,0,0,1,"U","1"
"557","1991-05",0,0,0,0,1,"U","1"
"558","1991-06",0,0,0,0,1,"U","1"
"559","1991-07",0,0,0,0,1,"U","1"
"560","1991-08",0,0,0,0,1,"U","1"
"561","1991-09",0,0,0,0,1,"U","1"
"562","1991-10",0,0,0,0,1,"U","1"
"563","1991-11",0,0,0,0,1,"U","1"
"564","1991-12",0,0,0,0,1,"U","1"
"565","1992-01",0,0,0,0,1,"U","1"
"566","1992-02",0,0,0,0,1,"U","1"
"567","1992-03",0,0,0,0,1,"U","1"
"568","1992-04",0,0,0,0,1,"U","1"
"569","1992-05",0,0,0,0,1,"U","1"
"570","1992-06",0,0,0,0,1,"U","1"
"571","1992-07",0,0,0,0,1,"U","1"
"572","1992-08",0,0,0,0,1,"U","1"
"573","1992-09",0,0,0,0,1,"U","1"
"574","1992-10",0,0,0,0,1,"U","1"
"575","1992-11",0,0,0,0,1,"U","1"
"576","1992-12",0,0,0,0,1,"U","1"
"577","1993-01",0,0,0,0,1,"U","1"
"578","1993-02",0,0,0,0,1,"U","1"
