"","date","U","H","F","D","B","Shape","ns"
"373","1984-04",1,0,0,0,0,"U","1"
"374","1984-05",1,0,0,0,0,"U","1"
"375","1984-06",1,0,0,0,0,"U","1"
"376","1984-07",1,0,0,0,0,"U","1"
"377","1984-08",1,0,0,0,0,"U","1"
"378","1984-09",0,1,0,0,0,"H","2"
"379","1984-10",1,0,0,0,0,"U","1"
"380","1984-11",1,0,0,0,0,"U","1"
"381","1984-12",1,0,0,0,0,"U","1"
"382","1985-01",1,0,0,0,0,"U","1"
"383","1985-02",1,0,0,0,0,"U","1"
"384","1985-03",1,0,0,0,0,"U","1"
"385","1985-04",1,0,0,0,0,"U","1"
"386","1985-05",1,0,0,0,0,"U","1"
"387","1985-06",1,0,0,0,0,"U","1"
"388","1985-07",1,0,0,0,0,"U","1"
"389","1985-08",1,0,0,0,0,"U","1"
"390","1985-09",1,0,0,0,0,"U","1"
"391","1985-10",1,0,0,0,0,"U","1"
"392","1985-11",1,0,0,0,0,"U","1"
"393","1985-12",1,0,0,0,0,"U","1"
"394","1986-01",1,0,0,0,0,"U","1"
"395","1986-02",1,0,0,0,0,"U","1"
"396","1986-03",1,0,0,0,0,"U","1"
"397","1986-04",1,0,0,0,0,"U","1"
"398","1986-05",1,0,0,0,0,"U","1"
"399","1986-06",1,0,0,0,0,"U","1"
"400","1986-07",1,0,0,0,0,"U","1"
"401","1986-08",1,0,0,0,0,"U","1"
"402","1986-09",1,0,0,0,0,"U","1"
"403","1986-10",1,0,0,0,0,"U","1"
"404","1986-11",1,0,0,0,0,"U","1"
"405","1986-12",1,0,0,0,0,"U","1"
"406","1987-01",1,0,0,0,0,"U","1"
"407","1987-02",1,0,0,0,0,"U","1"
"408","1987-03",1,0,0,0,0,"U","1"
"409","1987-04",1,0,0,0,0,"U","1"
"410","1987-05",1,0,0,0,0,"U","1"
"411","1987-06",1,0,0,0,0,"U","1"
"412","1987-07",1,0,0,0,0,"U","1"
"413","1987-08",1,0,0,0,0,"U","1"
"414","1987-09",1,0,0,0,0,"U","1"
"415","1987-10",1,0,0,0,0,"U","1"
"416","1987-11",1,0,0,0,0,"U","1"
"417","1987-12",1,0,0,0,0,"U","1"
"418","1988-01",1,0,0,0,0,"U","1"
"419","1988-02",1,0,0,0,0,"U","1"
"420","1988-03",1,0,0,0,0,"U","1"
"421","1988-04",1,0,0,0,0,"U","1"
"422","1988-05",1,0,0,0,0,"U","1"
"423","1988-06",1,0,0,0,0,"U","1"
"424","1988-07",1,0,0,0,0,"U","1"
"425","1988-08",1,0,0,0,0,"U","1"
"426","1988-09",1,0,0,0,0,"U","1"
"427","1988-10",1,0,0,0,0,"U","1"
"428","1988-11",1,0,0,0,0,"U","1"
"429","1988-12",0,1,0,0,0,"H","2"
"430","1989-01",0,1,0,0,0,"H","2"
"431","1989-02",0,1,0,0,0,"H","2"
