,date,U,H,F,D,B,ms,ns
326,1972-02,1,0,0,0,0,U,1
327,1972-03,1,0,0,0,0,U,1
328,1972-04,1,0,0,0,0,U,1
329,1972-05,1,0,0,0,0,U,1
330,1972-06,1,0,0,0,0,U,1
331,1972-07,1,0,0,0,0,U,1
332,1972-08,1,0,0,0,0,U,1
333,1972-09,1,0,0,0,0,U,1
334,1972-10,1,0,0,0,0,U,1
335,1972-11,0,1,0,0,0,H,2
336,1972-12,1,0,0,0,0,U,1
337,1973-01,1,0,0,0,0,U,1
338,1973-02,1,0,0,0,0,U,1
339,1973-03,0,0,1,0,0,F,5
340,1973-04,0,0,0,0,1,B,4
341,1973-05,0,0,1,0,0,F,5
342,1973-06,0,0,0,0,1,B,4
343,1973-07,0,0,0,1,0,D,3
344,1973-08,0,0,0,1,0,D,3
345,1973-09,0,0,0,0,1,B,4
346,1973-10,0,0,0,0,1,B,4
347,1973-11,0,0,0,0,1,B,4
348,1973-12,0,0,0,0,1,B,4
349,1974-01,0,0,0,0,1,B,4
350,1974-02,0,0,0,0,1,B,4
351,1974-03,0,0,0,0,1,B,4
352,1974-04,0,0,0,1,0,D,3
353,1974-05,0,0,0,1,0,D,3
354,1974-06,0,0,0,1,0,D,3
355,1974-07,0,0,0,1,0,D,3
356,1974-08,0,0,0,1,0,D,3
357,1974-09,0,0,0,1,0,D,3
358,1974-10,0,0,0,0,1,B,4
359,1974-11,0,0,0,0,1,B,4
360,1974-12,1,0,0,0,0,U,1
361,1975-01,1,0,0,0,0,U,1
362,1975-02,1,0,0,0,0,U,1
363,1975-03,1,0,0,0,0,U,1
364,1975-04,1,0,0,0,0,U,1
365,1975-05,1,0,0,0,0,U,1
366,1975-06,1,0,0,0,0,U,1
367,1975-07,1,0,0,0,0,U,1
368,1975-08,1,0,0,0,0,U,1
369,1975-09,1,0,0,0,0,U,1
370,1975-10,1,0,0,0,0,U,1
371,1975-11,1,0,0,0,0,U,1
372,1975-12,1,0,0,0,0,U,1
373,1976-01,1,0,0,0,0,U,1
374,1976-02,1,0,0,0,0,U,1
375,1976-03,1,0,0,0,0,U,1
376,1976-04,1,0,0,0,0,U,1
377,1976-05,1,0,0,0,0,U,1
378,1976-06,1,0,0,0,0,U,1
379,1976-07,1,0,0,0,0,U,1
380,1976-08,1,0,0,0,0,U,1
381,1976-09,1,0,0,0,0,U,1
382,1976-10,1,0,0,0,0,U,1
383,1976-11,1,0,0,0,0,U,1
384,1976-12,1,0,0,0,0,U,1
385,1977-01,1,0,0,0,0,U,1
386,1977-02,1,0,0,0,0,U,1
387,1977-03,1,0,0,0,0,U,1
388,1977-04,1,0,0,0,0,U,1
389,1977-05,1,0,0,0,0,U,1
390,1977-06,1,0,0,0,0,U,1
391,1977-07,1,0,0,0,0,U,1
392,1977-08,1,0,0,0,0,U,1
393,1977-09,1,0,0,0,0,U,1
394,1977-10,1,0,0,0,0,U,1
395,1977-11,1,0,0,0,0,U,1
396,1977-12,1,0,0,0,0,U,1
397,1978-01,1,0,0,0,0,U,1
398,1978-02,1,0,0,0,0,U,1
399,1978-03,1,0,0,0,0,U,1
400,1978-04,1,0,0,0,0,U,1
401,1978-05,1,0,0,0,0,U,1
402,1978-06,1,0,0,0,0,U,1
403,1978-07,1,0,0,0,0,U,1
404,1978-08,0,0,1,0,0,F,5
405,1978-09,0,0,0,1,0,D,3
406,1978-10,0,0,0,1,0,D,3
407,1978-11,0,0,0,1,0,D,3
408,1978-12,0,0,0,1,0,D,3
409,1979-01,0,0,0,1,0,D,3
410,1979-02,0,0,0,1,0,D,3
411,1979-03,0,0,0,1,0,D,3
412,1979-04,0,0,0,1,0,D,3
413,1979-05,0,0,0,1,0,D,3
414,1979-06,0,0,0,1,0,D,3
415,1979-07,0,0,0,1,0,D,3
416,1979-08,0,0,0,1,0,D,3
417,1979-09,0,0,0,1,0,D,3
418,1979-10,0,0,0,1,0,D,3
419,1979-11,0,0,0,1,0,D,3
420,1979-12,0,0,0,1,0,D,3
421,1980-01,0,0,0,1,0,D,3
422,1980-02,0,0,0,1,0,D,3
423,1980-03,0,0,0,1,0,D,3
424,1980-04,0,0,0,1,0,D,3
425,1980-05,1,0,0,0,0,U,1
426,1980-06,1,0,0,0,0,U,1
427,1980-07,1,0,0,0,0,U,1
428,1980-08,1,0,0,0,0,U,1
429,1980-09,0,1,0,0,0,H,2
430,1980-10,0,0,0,1,0,D,3
431,1980-11,0,0,0,1,0,D,3
432,1980-12,0,0,0,1,0,D,3
433,1981-01,0,0,0,1,0,D,3
434,1981-02,0,0,0,1,0,D,3
435,1981-03,0,0,0,1,0,D,3
436,1981-04,0,0,0,1,0,D,3
437,1981-05,0,0,0,1,0,D,3
438,1981-06,0,0,0,1,0,D,3
439,1981-07,0,0,0,1,0,D,3
440,1981-08,0,0,0,1,0,D,3
441,1981-09,0,0,0,1,0,D,3
442,1981-10,0,1,0,0,0,H,2
443,1981-11,1,0,0,0,0,U,1
444,1981-12,1,0,0,0,0,U,1
445,1982-01,0,1,0,0,0,H,2
446,1982-02,0,1,0,0,0,H,2
447,1982-03,0,1,0,0,0,H,2
448,1982-04,0,1,0,0,0,H,2
449,1982-05,0,1,0,0,0,H,2
450,1982-06,0,1,0,0,0,H,2
451,1982-07,0,1,0,0,0,H,2
452,1982-08,1,0,0,0,0,U,1
453,1982-09,1,0,0,0,0,U,1
454,1982-10,1,0,0,0,0,U,1
455,1982-11,1,0,0,0,0,U,1
456,1982-12,1,0,0,0,0,U,1
457,1983-01,1,0,0,0,0,U,1
458,1983-02,1,0,0,0,0,U,1
459,1983-03,1,0,0,0,0,U,1
460,1983-04,1,0,0,0,0,U,1
461,1983-05,1,0,0,0,0,U,1
462,1983-06,1,0,0,0,0,U,1
463,1983-07,1,0,0,0,0,U,1
464,1983-08,1,0,0,0,0,U,1
465,1983-09,1,0,0,0,0,U,1
466,1983-10,1,0,0,0,0,U,1
467,1983-11,1,0,0,0,0,U,1
468,1983-12,1,0,0,0,0,U,1
469,1984-01,1,0,0,0,0,U,1
470,1984-02,1,0,0,0,0,U,1
471,1984-03,1,0,0,0,0,U,1
472,1984-04,1,0,0,0,0,U,1
473,1984-05,1,0,0,0,0,U,1
474,1984-06,1,0,0,0,0,U,1
475,1984-07,1,0,0,0,0,U,1
476,1984-08,1,0,0,0,0,U,1
477,1984-09,0,1,0,0,0,H,2
478,1984-10,1,0,0,0,0,U,1
479,1984-11,1,0,0,0,0,U,1
480,1984-12,1,0,0,0,0,U,1
481,1985-01,1,0,0,0,0,U,1
482,1985-02,1,0,0,0,0,U,1
483,1985-03,1,0,0,0,0,U,1
484,1985-04,1,0,0,0,0,U,1
485,1985-05,1,0,0,0,0,U,1
486,1985-06,1,0,0,0,0,U,1
487,1985-07,1,0,0,0,0,U,1
488,1985-08,1,0,0,0,0,U,1
489,1985-09,1,0,0,0,0,U,1
490,1985-10,1,0,0,0,0,U,1
491,1985-11,1,0,0,0,0,U,1
492,1985-12,1,0,0,0,0,U,1
493,1986-01,1,0,0,0,0,U,1
494,1986-02,1,0,0,0,0,U,1
495,1986-03,1,0,0,0,0,U,1
496,1986-04,1,0,0,0,0,U,1
497,1986-05,1,0,0,0,0,U,1
498,1986-06,1,0,0,0,0,U,1
499,1986-07,1,0,0,0,0,U,1
500,1986-08,1,0,0,0,0,U,1
501,1986-09,1,0,0,0,0,U,1
502,1986-10,1,0,0,0,0,U,1
503,1986-11,1,0,0,0,0,U,1
